Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# AAs,MW [kDa],calc. pI
Q6NZB1,Protein arginine N-methyltransferase 6 OS=Mus musculus GN=Prmt6 PE=1 SV=2 - [ANM6_MOUSE],4.50%,1,2,2,3,378,41.8,5.34
Q6P9J9,Anoctamin-6 OS=Mus musculus GN=Ano6 PE=1 SV=1 - [ANO6_MOUSE],23.49%,1,21,21,85,911,106.2,6.76
P18293,Atrial natriuretic peptide receptor 1 OS=Mus musculus GN=Npr1 PE=2 SV=2 - [ANPRA_MOUSE],48.91%,5,45,46,284,1057,119,6.89
P70180,Atrial natriuretic peptide receptor 3 OS=Mus musculus GN=Npr3 PE=1 SV=3 - [ANPRC_MOUSE],22.01%,1,12,12,30,536,59.8,7.09
Q99NH0,Ankyrin repeat domain-containing protein 17 OS=Mus musculus GN=Ankrd17 PE=1 SV=2 - [ANR17_MOUSE],11.60%,6,12,25,47,2603,274,6.52
Q3UMR0,Ankyrin repeat domain-containing protein 27 OS=Mus musculus GN=Ankrd27 PE=1 SV=2 - [ANR27_MOUSE],4.68%,2,4,5,8,1048,116.7,6.65
Q505D1,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Mus musculus GN=Ankrd28 PE=1 SV=1 - [ANR28_MOUSE],14.53%,1,10,11,24,1053,112.8,6.27
B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Mus musculus GN=Ankrd44 PE=2 SV=1 - [ANR44_MOUSE],41.29%,5,28,29,154,993,107.3,6.42
Q8VE42,Ankyrin repeat domain-containing protein 49 OS=Mus musculus GN=Ankrd49 PE=2 SV=1 - [ANR49_MOUSE],13.87%,1,3,3,5,238,27.1,5.16
Q91WK7,Ankyrin repeat domain-containing protein 54 OS=Mus musculus GN=Ankrd54 PE=1 SV=1 - [ANR54_MOUSE],17.06%,5,3,3,6,299,32.5,6.68
P59672,Ankyrin repeat and SAM domain-containing protein 1A OS=Mus musculus GN=Anks1a PE=1 SV=3 - [ANS1A_MOUSE],20.43%,14,19,20,44,1150,125.2,6.05
P97384,Annexin A11 OS=Mus musculus GN=Anxa11 PE=1 SV=2 - [ANX11_MOUSE],45.33%,2,22,24,200,503,54,7.66
P10107,Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2 - [ANXA1_MOUSE],88.15%,1,44,46,879,346,38.7,7.37
P07356,Annexin A2 OS=Mus musculus GN=Anxa2 PE=1 SV=2 - [ANXA2_MOUSE],87.02%,4,53,53,1572,339,38.7,7.69
O35639,Annexin A3 OS=Mus musculus GN=Anxa3 PE=1 SV=4 - [ANXA3_MOUSE],85.14%,1,42,45,704,323,36.4,5.76
P97429,Annexin A4 OS=Mus musculus GN=Anxa4 PE=2 SV=4 - [ANXA4_MOUSE],82.45%,4,35,36,637,319,35.9,5.57
P48036,Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1 - [ANXA5_MOUSE],90.28%,1,44,45,842,319,35.7,4.96
P14824,Annexin A6 OS=Mus musculus GN=Anxa6 PE=1 SV=3 - [ANXA6_MOUSE],76.37%,1,4,68,649,673,75.8,5.5
Q07076,Annexin A7 OS=Mus musculus GN=Anxa7 PE=2 SV=2 - [ANXA7_MOUSE],52.27%,1,28,30,393,463,49.9,6.18
P22892,AP-1 complex subunit gamma-1 OS=Mus musculus GN=Ap1g1 PE=1 SV=3 - [AP1G1_MOUSE],58.76%,2,42,44,280,822,91.3,6.8
P35585,AP-1 complex subunit mu-1 OS=Mus musculus GN=Ap1m1 PE=1 SV=3 - [AP1M1_MOUSE],60.28%,4,28,28,175,423,48.5,7.3
Q7TN05,AP-1 complex subunit sigma-3 OS=Mus musculus GN=Ap1s3 PE=2 SV=1 - [AP1S3_MOUSE],25.97%,3,3,3,9,154,18.4,6.34
P17426,AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 PE=1 SV=1 - [AP2A1_MOUSE],70.01%,4,49,69,681,977,107.6,7.03
P17427,AP-2 complex subunit alpha-2 OS=Mus musculus GN=Ap2a2 PE=1 SV=2 - [AP2A2_MOUSE],64.07%,2,38,58,622,938,104,6.93
Q9DBG3,AP-2 complex subunit beta OS=Mus musculus GN=Ap2b1 PE=1 SV=1 - [AP2B1_MOUSE],61.69%,5,39,74,928,937,104.5,5.38
Q9Z1T1,AP-3 complex subunit beta-1 OS=Mus musculus GN=Ap3b1 PE=1 SV=2 - [AP3B1_MOUSE],43.53%,2,48,48,199,1105,122.7,5.66
O54774,AP-3 complex subunit delta-1 OS=Mus musculus GN=Ap3d1 PE=1 SV=1 - [AP3D1_MOUSE],43.29%,1,44,44,180,1199,135,7.37
Q9JKC8,AP-3 complex subunit mu-1 OS=Mus musculus GN=Ap3m1 PE=1 SV=1 - [AP3M1_MOUSE],51.67%,5,13,16,104,418,46.9,6.93
Q8R2R9,AP-3 complex subunit mu-2 OS=Mus musculus GN=Ap3m2 PE=2 SV=1 - [AP3M2_MOUSE],30.38%,1,5,9,25,418,46.9,7.56
P56380,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] OS=Mus musculus GN=Nudt2 PE=1 SV=3 - [AP4A_MOUSE],67.35%,1,10,10,55,147,17,6.28
Q80V94,AP-4 complex subunit epsilon-1 OS=Mus musculus GN=Ap4e1 PE=2 SV=3 - [AP4E1_MOUSE],9.63%,4,7,8,13,1122,124.8,5.72
Q9JKC7,AP-4 complex subunit mu-1 OS=Mus musculus GN=Ap4m1 PE=2 SV=1 - [AP4M1_MOUSE],8.69%,1,3,3,4,449,49.5,6.64
B2RUJ5,Amyloid beta A4 precursor protein-binding family A member 1 OS=Mus musculus GN=Apba1 PE=1 SV=2 - [APBA1_MOUSE],3.33%,1,2,2,4,842,92.9,4.88
P53995,Anaphase-promoting complex subunit 1 OS=Mus musculus GN=Anapc1 PE=2 SV=2 - [APC1_MOUSE],19.14%,3,29,29,60,1944,215.9,6.35
Q91W96,Anaphase-promoting complex subunit 4 OS=Mus musculus GN=Anapc4 PE=1 SV=1 - [APC4_MOUSE],15.61%,2,12,12,32,807,91.6,5.4
Q8BTZ4,Anaphase-promoting complex subunit 5 OS=Mus musculus GN=Anapc5 PE=2 SV=1 - [APC5_MOUSE],31.08%,1,20,21,43,740,83,6.71
Q8R146,Acylamino-acid-releasing enzyme OS=Mus musculus GN=Apeh PE=2 SV=3 - [APEH_MOUSE],60.66%,1,34,34,177,732,81.5,5.59
P28352,DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus GN=Apex1 PE=1 SV=2 - [APEX1_MOUSE],62.78%,4,18,18,109,317,35.5,7.91
O35841,Apoptosis inhibitor 5 OS=Mus musculus GN=Api5 PE=1 SV=2 - [API5_MOUSE],64.09%,1,34,35,156,504,56.7,5.92
Q9D842,Aprataxin and PNK-like factor OS=Mus musculus GN=Aplf PE=2 SV=2 - [APLF_MOUSE],13.63%,1,4,4,5,499,54.9,5.21
Q03157,Amyloid-like protein 1 OS=Mus musculus GN=Aplp1 PE=1 SV=1 - [APLP1_MOUSE],6.43%,1,4,5,7,653,72.7,5.67
Q9D7N9,Adipocyte plasma membrane-associated protein OS=Mus musculus GN=Apmap PE=1 SV=1 - [APMAP_MOUSE],68.43%,1,23,23,135,415,46.4,6.32
Q78IK4,MICOS complex subunit Mic27 OS=Mus musculus GN=Apool PE=2 SV=1 - [MIC27_MOUSE],58.11%,2,12,12,32,265,29.2,9.31
P08030,Adenine phosphoribosyltransferase OS=Mus musculus GN=Aprt PE=1 SV=2 - [APT_MOUSE],66.11%,1,9,9,28,180,19.7,6.79
Q9JKW0,ADP-ribosylation factor-like protein 6-interacting protein 1 OS=Mus musculus GN=Arl6ip1 PE=2 SV=1 - [AR6P1_MOUSE],14.78%,1,4,4,15,203,23.4,9.32
Q9JM93,ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Mus musculus GN=Arl6ip4 PE=1 SV=1 - [AR6P4_MOUSE],26.64%,4,4,4,13,229,25.5,11.19
P04627,Serine/threonine-protein kinase A-Raf OS=Mus musculus GN=Araf PE=2 SV=2 - [ARAF_MOUSE],40.23%,4,9,23,136,604,67.5,9.11
Q9R0Q6,Actin-related protein 2/3 complex subunit 1A OS=Mus musculus GN=Arpc1a PE=1 SV=1 - [ARC1A_MOUSE],72.16%,2,33,34,503,370,41.6,8.18
Q9WV32,Actin-related protein 2/3 complex subunit 1B OS=Mus musculus GN=Arpc1b PE=2 SV=4 - [ARC1B_MOUSE],64.78%,4,25,27,367,372,41,8.35
Q8BSL7,ADP-ribosylation factor 2 OS=Mus musculus GN=Arf2 PE=1 SV=2 - [ARF2_MOUSE],66.30%,3,2,14,285,181,20.7,6.58
P61750,ADP-ribosylation factor 4 OS=Mus musculus GN=Arf4 PE=1 SV=2 - [ARF4_MOUSE],58.89%,4,4,12,210,180,20.4,7.14
Q9EPJ9,ADP-ribosylation factor GTPase-activating protein 1 OS=Mus musculus GN=Arfgap1 PE=1 SV=2 - [ARFG1_MOUSE],47.83%,7,17,17,57,414,45.3,5.57
Q99K28,ADP-ribosylation factor GTPase-activating protein 2 OS=Mus musculus GN=Arfgap2 PE=1 SV=1 - [ARFG2_MOUSE],54.04%,3,21,23,98,520,56.6,8.18
Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3 OS=Mus musculus GN=Arfgap3 PE=1 SV=2 - [ARFG3_MOUSE],10.71%,1,4,5,11,523,57.4,8.47
P97433,Rho guanine nucleotide exchange factor 28 OS=Mus musculus GN=Arhgef28 PE=1 SV=1 - [ARG28_MOUSE],5.20%,2,4,6,16,1693,190.2,5.97
Q3UL36,Arginine and glutamate-rich protein 1 OS=Mus musculus GN=Arglu1 PE=1 SV=2 - [ARGL1_MOUSE],43.54%,1,17,22,74,271,32.9,10.36
Q61210,Rho guanine nucleotide exchange factor 1 OS=Mus musculus GN=Arhgef1 PE=1 SV=2 - [ARHG1_MOUSE],42.28%,3,31,32,148,920,102.7,5.6
Q7TNR9,Rho guanine nucleotide exchange factor 4 OS=Mus musculus GN=Arhgef4 PE=2 SV=2 - [ARHG4_MOUSE],4.75%,5,1,2,4,484,56.6,7.94
Q9ES28,Rho guanine nucleotide exchange factor 7 OS=Mus musculus GN=Arhgef7 PE=1 SV=2 - [ARHG7_MOUSE],36.54%,6,33,33,163,862,97,6.8
Q8C033,Rho guanine nucleotide exchange factor 10 OS=Mus musculus GN=Arhgef10 PE=2 SV=2 - [ARHGA_MOUSE],16.36%,3,15,15,26,1345,147.9,5.73
Q8R4H2,Rho guanine nucleotide exchange factor 12 OS=Mus musculus GN=Arhgef12 PE=1 SV=2 - [ARHGC_MOUSE],60.14%,1,2,94,560,1543,172.2,5.74
Q3U5C8,Rho guanine nucleotide exchange factor 16 OS=Mus musculus GN=Arhgef16 PE=1 SV=3 - [ARHGG_MOUSE],58.35%,3,42,42,379,713,80.3,7.49
Q80U35,Rho guanine nucleotide exchange factor 17 OS=Mus musculus GN=Arhgef17 PE=2 SV=2 - [ARHGH_MOUSE],36.17%,3,59,59,319,2057,221.5,6.3
Q6P9R4,Rho guanine nucleotide exchange factor 18 OS=Mus musculus GN=Arhgef18 PE=2 SV=2 - [ARHGI_MOUSE],67.58%,2,67,71,517,1021,114.3,6.21
Q8CG72,Poly(ADP-ribose) glycohydrolase ARH3 OS=Mus musculus GN=Adprhl2 PE=1 SV=1 - [ARHL2_MOUSE],25.41%,1,8,8,47,370,39.4,4.96
Q8C142,Low density lipoprotein receptor adapter protein 1 OS=Mus musculus GN=Ldlrap1 PE=1 SV=3 - [ARH_MOUSE],55.19%,1,13,13,39,308,34,6.58
A2BH40,AT-rich interactive domain-containing protein 1A OS=Mus musculus GN=Arid1a PE=1 SV=1 - [ARI1A_MOUSE],20.11%,2,32,36,127,2283,241.9,6.68
Q9Z1K5,E3 ubiquitin-protein ligase ARIH1 OS=Mus musculus GN=Arih1 PE=1 SV=3 - [ARI1_MOUSE],59.10%,4,29,29,113,555,64,5.08
Q9Z1K6,E3 ubiquitin-protein ligase ARIH2 OS=Mus musculus GN=Arih2 PE=1 SV=1 - [ARI2_MOUSE],41.87%,1,15,15,30,492,57.7,5.69
Q8CG76,Aflatoxin B1 aldehyde reductase member 2 OS=Mus musculus GN=Akr7a2 PE=1 SV=3 - [ARK72_MOUSE],55.86%,1,16,16,103,367,40.6,8.12
P61211,ADP-ribosylation factor-like protein 1 OS=Mus musculus GN=Arl1 PE=2 SV=1 - [ARL1_MOUSE],77.35%,3,11,11,76,181,20.4,5.72
Q9D0J4,ADP-ribosylation factor-like protein 2 OS=Mus musculus GN=Arl2 PE=1 SV=1 - [ARL2_MOUSE],55.98%,2,10,10,61,184,20.9,5.96
Q9WUL7,ADP-ribosylation factor-like protein 3 OS=Mus musculus GN=Arl3 PE=1 SV=1 - [ARL3_MOUSE],85.16%,1,14,14,90,182,20.5,7.24
Q99PE9,ADP-ribosylation factor-like protein 4D OS=Mus musculus GN=Arl4d PE=2 SV=2 - [ARL4D_MOUSE],20.40%,1,2,2,3,201,22.3,9.85
Q80ZU0,ADP-ribosylation factor-like protein 5A OS=Mus musculus GN=Arl5a PE=2 SV=1 - [ARL5A_MOUSE],17.32%,1,3,3,10,179,20.7,6.79
O88848,ADP-ribosylation factor-like protein 6 OS=Mus musculus GN=Arl6 PE=2 SV=1 - [ARL6_MOUSE],39.25%,2,6,6,13,186,20.9,8.25
Q8VEH3,ADP-ribosylation factor-like protein 8A OS=Mus musculus GN=Arl8a PE=2 SV=1 - [ARL8A_MOUSE],86.56%,2,5,15,86,186,21.4,7.77
Q91YI0,Argininosuccinate lyase OS=Mus musculus GN=Asl PE=1 SV=1 - [ARLY_MOUSE],51.72%,5,28,30,179,464,51.7,6.96
Q9D0L7,Armadillo repeat-containing protein 10 OS=Mus musculus GN=Armc10 PE=1 SV=1 - [ARM10_MOUSE],48.69%,2,10,10,44,306,33.3,7.99
Q9D7A8,Armadillo repeat-containing protein 1 OS=Mus musculus GN=Armc1 PE=1 SV=1 - [ARMC1_MOUSE],54.61%,1,10,10,25,282,31.2,5.57
Q8BNU0,Armadillo repeat-containing protein 6 OS=Mus musculus GN=Armc6 PE=2 SV=1 - [ARMC6_MOUSE],33.97%,2,12,12,39,468,50.7,6
Q3UJZ3,Armadillo repeat-containing protein 7 OS=Mus musculus GN=Armc7 PE=2 SV=2 - [ARMC7_MOUSE],8.08%,1,1,1,1,198,21.6,5.03
Q9D2I5,LisH domain-containing protein ARMC9 OS=Mus musculus GN=Armc9 PE=2 SV=1 - [ARMC9_MOUSE],2.57%,1,2,2,5,817,91.9,6.92
Q61324,Aryl hydrocarbon receptor nuclear translocator 2 OS=Mus musculus GN=Arnt2 PE=1 SV=2 - [ARNT2_MOUSE],8.43%,1,3,4,11,712,77.9,6.71
Q9QZB7,Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2 - [ARP10_MOUSE],68.11%,1,22,23,134,417,46.2,7.61
Q641P0,Actin-related protein 3B OS=Mus musculus GN=Actr3b PE=2 SV=1 - [ARP3B_MOUSE],21.05%,1,2,8,113,418,47.5,6.02
Q99JY9,Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3 - [ARP3_MOUSE],83.97%,5,28,40,990,418,47.3,5.88
Q9D864,Actin-related protein 6 OS=Mus musculus GN=Actr6 PE=1 SV=2 - [ARP6_MOUSE],22.22%,1,7,7,8,396,45.8,5.03
Q9CVB6,Actin-related protein 2/3 complex subunit 2 OS=Mus musculus GN=Arpc2 PE=1 SV=3 - [ARPC2_MOUSE],79.00%,3,32,32,539,300,34.3,7.36
Q9CPW4,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3 - [ARPC5_MOUSE],89.40%,3,19,19,293,151,16.3,5.67
Q9D0A3,Arpin OS=Mus musculus GN=Arpin PE=1 SV=1 - [ARPIN_MOUSE],63.27%,1,16,16,123,226,25.2,5.19
Q8BWG8,Beta-arrestin-1 OS=Mus musculus GN=Arrb1 PE=1 SV=1 - [ARRB1_MOUSE],83.25%,9,26,31,322,418,46.9,6.28
Q99KN1,Arrestin domain-containing protein 1 OS=Mus musculus GN=Arrdc1 PE=2 SV=2 - [ARRD1_MOUSE],23.96%,5,8,8,16,434,46.3,7.21
P50429,Arylsulfatase B OS=Mus musculus GN=Arsb PE=2 SV=3 - [ARSB_MOUSE],8.24%,1,4,4,9,534,59.6,7.24
P98203,Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog OS=Mus musculus GN=Arvcf PE=1 SV=2 - [ARVC_MOUSE],62.47%,1,60,60,449,962,105,6.64
P50295,Arylamine N-acetyltransferase 2 OS=Mus musculus GN=Nat2 PE=1 SV=1 - [ARY2_MOUSE],47.59%,3,9,10,31,290,33.7,5.88
Q91WU5,Arsenite methyltransferase OS=Mus musculus GN=As3mt PE=2 SV=2 - [AS3MT_MOUSE],85.90%,2,32,32,299,376,41.8,5.86
Q9WV54,Acid ceramidase OS=Mus musculus GN=Asah1 PE=1 SV=1 - [ASAH1_MOUSE],42.13%,3,18,18,69,394,44.6,8.46
Q9D8Z1,Activating signal cointegrator 1 complex subunit 1 OS=Mus musculus GN=Ascc1 PE=2 SV=1 - [ASCC1_MOUSE],17.98%,1,5,5,7,356,41.3,6.54
Q91WR3,Activating signal cointegrator 1 complex subunit 2 OS=Mus musculus GN=Ascc2 PE=2 SV=1 - [ASCC2_MOUSE],5.74%,1,4,4,4,749,85.6,5.03
E9PZJ8,Activating signal cointegrator 1 complex subunit 3 OS=Mus musculus GN=Ascc3 PE=1 SV=1 - [ASCC3_MOUSE],12.69%,1,24,24,33,2198,250.4,7.02
Q9EPB4,Apoptosis-associated speck-like protein containing a CARD OS=Mus musculus GN=Pycard PE=1 SV=1 - [ASC_MOUSE],45.08%,1,6,6,14,193,21.4,5.43
Q8C0M9,Isoaspartyl peptidase/L-asparaginase OS=Mus musculus GN=Asrgl1 PE=1 SV=1 - [ASGL1_MOUSE],38.96%,1,9,9,18,326,33.9,7.65
Q922M7,Ashwin OS=Mus musculus PE=1 SV=1 - [ASHWN_MOUSE],36.21%,1,7,7,21,232,26,9.55
P70158,Acid sphingomyelinase-like phosphodiesterase 3a OS=Mus musculus GN=Smpdl3a PE=2 SV=2 - [ASM3A_MOUSE],6.29%,1,1,2,2,445,49.8,6.46
Q04519,Sphingomyelin phosphodiesterase OS=Mus musculus GN=Smpd1 PE=2 SV=2 - [ASM_MOUSE],9.89%,1,6,6,12,627,69.9,7.2
O54984,ATPase Asna1 OS=Mus musculus GN=Asna1 PE=1 SV=2 - [ASNA_MOUSE],50.29%,1,12,12,97,348,38.8,4.91
Q8BFS9,Asparagine synthetase domain-containing protein 1 OS=Mus musculus GN=Asnsd1 PE=2 SV=1 - [ASND1_MOUSE],2.87%,1,1,1,1,627,69.7,6.87
Q8VBT9,Tether containing UBX domain for GLUT4 OS=Mus musculus GN=Aspscr1 PE=1 SV=1 - [ASPC1_MOUSE],32.18%,12,11,11,34,550,59.8,6.96
Q62415,Apoptosis-stimulating of p53 protein 1 OS=Mus musculus GN=Ppp1r13b PE=2 SV=2 - [ASPP1_MOUSE],19.78%,1,15,17,57,1087,119.1,6.68
Q8CG79,Apoptosis-stimulating of p53 protein 2 OS=Mus musculus GN=Tp53bp2 PE=1 SV=3 - [ASPP2_MOUSE],53.46%,2,49,50,322,1128,125.2,6.34
Q8QZV7,Protein asunder homolog OS=Mus musculus GN=Asun PE=1 SV=2 - [ASUN_MOUSE],17.62%,3,10,10,20,732,82.7,6.92
O54827,Probable phospholipid-transporting ATPase VA OS=Mus musculus GN=Atp10a PE=2 SV=4 - [AT10A_MOUSE],1.19%,1,2,3,5,1508,168.7,6.67
Q9EPE9,Manganese-transporting ATPase 13A1 OS=Mus musculus GN=Atp13a1 PE=2 SV=2 - [AT131_MOUSE],27.17%,1,26,26,66,1200,132.3,8.03
Q5XF89,Probable cation-transporting ATPase 13A3 OS=Mus musculus GN=Atp13a3 PE=1 SV=1 - [AT133_MOUSE],1.15%,1,1,1,1,1219,137.4,6.67
Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1 - [AT1A1_MOUSE],54.06%,11,67,67,1087,1023,112.9,5.45
P14094,Sodium/potassium-transporting ATPase subunit beta-1 OS=Mus musculus GN=Atp1b1 PE=1 SV=1 - [AT1B1_MOUSE],51.32%,1,16,16,93,304,35.2,8.65
P97370,Sodium/potassium-transporting ATPase subunit beta-3 OS=Mus musculus GN=Atp1b3 PE=1 SV=1 - [AT1B3_MOUSE],53.24%,1,13,13,217,278,31.8,8.51
O55143,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus GN=Atp2a2 PE=1 SV=2 - [AT2A2_MOUSE],52.49%,7,56,56,374,1044,114.8,5.34
Q9CQQ7,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Mus musculus GN=Atp5f1 PE=1 SV=1 - [AT5F1_MOUSE]",42.97%,1,14,14,116,256,28.9,9.06
P98200,Phospholipid-transporting ATPase IB OS=Mus musculus GN=Atp8a2 PE=1 SV=1 - [AT8A2_MOUSE],2.70%,6,1,4,12,1148,129.3,7.33
Q148W0,Phospholipid-transporting ATPase IC OS=Mus musculus GN=Atp8b1 PE=1 SV=2 - [AT8B1_MOUSE],5.36%,1,6,7,7,1251,143.7,7.36
Q925I1,ATPase family AAA domain-containing protein 3 OS=Mus musculus GN=Atad3 PE=1 SV=1 - [ATAD3_MOUSE],28.09%,4,15,15,32,591,66.7,9.29
Q8K341,Alpha-tubulin N-acetyltransferase 1 OS=Mus musculus GN=Atat1 PE=1 SV=1 - [ATAT_MOUSE],35.63%,4,12,12,33,421,47.1,9.98
Q8BHE3,Caytaxin OS=Mus musculus GN=Atcay PE=1 SV=1 - [ATCAY_MOUSE],8.87%,1,1,2,9,372,42.2,4.68
P81269,Cyclic AMP-dependent transcription factor ATF-1 OS=Mus musculus GN=Atf1 PE=1 SV=1 - [ATF1_MOUSE],21.19%,16,3,5,24,269,29.2,8.37
P16951,Cyclic AMP-dependent transcription factor ATF-2 OS=Mus musculus GN=Atf2 PE=1 SV=2 - [ATF2_MOUSE],9.86%,10,2,2,2,487,52.3,7.23
Q9CQY1,Ubiquitin-like protein ATG12 OS=Mus musculus GN=Atg12 PE=1 SV=1 - [ATG12_MOUSE],16.31%,1,4,4,26,141,15.2,4.97
Q80XK6,Autophagy-related protein 2 homolog B OS=Mus musculus GN=Atg2b PE=1 SV=3 - [ATG2B_MOUSE],0.72%,1,2,2,3,2075,231.3,5.88
Q9CPX6,Ubiquitin-like-conjugating enzyme ATG3 OS=Mus musculus GN=Atg3 PE=1 SV=1 - [ATG3_MOUSE],50.64%,1,19,19,104,314,35.8,4.72
Q8C9S8,Cysteine protease ATG4A OS=Mus musculus GN=Atg4a PE=2 SV=2 - [ATG4A_MOUSE],10.35%,1,2,3,3,396,45.1,4.96
Q8BGE6,Cysteine protease ATG4B OS=Mus musculus GN=Atg4b PE=2 SV=2 - [ATG4B_MOUSE],30.79%,5,7,8,27,393,44.3,5.07
Q9D906,Ubiquitin-like modifier-activating enzyme ATG7 OS=Mus musculus GN=Atg7 PE=1 SV=1 - [ATG7_MOUSE],57.16%,10,31,31,124,698,77.5,6.4
Q8BP56,Acid trehalase-like protein 1 OS=Mus musculus GN=Athl1 PE=2 SV=1 - [ATHL1_MOUSE],39.42%,4,23,23,70,690,76.4,5.33
Q8BH66,Atlastin-1 OS=Mus musculus GN=Atl1 PE=1 SV=1 - [ATLA1_MOUSE],3.23%,1,1,2,10,558,63.3,6.49
Q6PA06,Atlastin-2 OS=Mus musculus GN=Atl2 PE=1 SV=1 - [ATLA2_MOUSE],26.42%,2,10,12,22,583,66.2,5.43
Q91YH5,Atlastin-3 OS=Mus musculus GN=Atl3 PE=2 SV=1 - [ATLA3_MOUSE],66.73%,2,26,29,189,541,60.5,6.1
Q62388,Serine-protein kinase ATM OS=Mus musculus GN=Atm PE=1 SV=2 - [ATM_MOUSE],6.46%,2,17,17,24,3066,349.2,6.86
O08997,Copper transport protein ATOX1 OS=Mus musculus GN=Atox1 PE=1 SV=1 - [ATOX1_MOUSE],63.24%,1,6,6,86,68,7.3,6.51
P56382,"ATP synthase subunit epsilon, mitochondrial OS=Mus musculus GN=Atp5e PE=1 SV=2 - [ATP5E_MOUSE]",51.92%,1,4,4,43,52,5.8,10.01
Q9DCX2,"ATP synthase subunit d, mitochondrial OS=Mus musculus GN=Atp5h PE=1 SV=3 - [ATP5H_MOUSE]",82.61%,4,15,15,155,161,18.7,5.69
Q06185,"ATP synthase subunit e, mitochondrial OS=Mus musculus GN=Atp5i PE=1 SV=2 - [ATP5I_MOUSE]",66.20%,2,5,5,35,71,8.2,9.35
P97450,"ATP synthase-coupling factor 6, mitochondrial OS=Mus musculus GN=Atp5j PE=1 SV=1 - [ATP5J_MOUSE]",63.89%,2,11,11,134,108,12.5,9.36
Q9CPQ8,"ATP synthase subunit g, mitochondrial OS=Mus musculus GN=Atp5l PE=1 SV=1 - [ATP5L_MOUSE]",33.98%,3,4,5,81,103,11.4,9.74
Q9CRA7,"ATP synthase subunit s, mitochondrial OS=Mus musculus GN=Atp5s PE=2 SV=1 - [ATP5S_MOUSE]",10.50%,1,2,2,5,200,23.3,8.06
Q64430,Copper-transporting ATPase 1 OS=Mus musculus GN=Atp7a PE=1 SV=3 - [ATP7A_MOUSE],7.44%,2,8,8,8,1491,161.9,6.62
P03930,ATP synthase protein 8 OS=Mus musculus GN=Mtatp8 PE=1 SV=1 - [ATP8_MOUSE],55.22%,1,4,4,32,67,7.8,9.88
Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1 - [ATPA_MOUSE]",74.14%,2,1,52,1088,553,59.7,9.19
P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2 - [ATPB_MOUSE]",83.36%,1,37,37,1103,529,56.3,5.34
Q9D3D9,"ATP synthase subunit delta, mitochondrial OS=Mus musculus GN=Atp5d PE=1 SV=1 - [ATPD_MOUSE]",41.07%,3,4,5,61,168,17.6,5.08
P56135,"ATP synthase subunit f, mitochondrial OS=Mus musculus GN=Atp5j2 PE=1 SV=3 - [ATPK_MOUSE]",34.09%,2,4,4,80,88,10.3,9.95
Q9DB20,"ATP synthase subunit O, mitochondrial OS=Mus musculus GN=Atp5o PE=1 SV=1 - [ATPO_MOUSE]",76.53%,2,20,20,189,213,23.3,9.99
Q9WU60,Attractin OS=Mus musculus GN=Atrn PE=2 SV=3 - [ATRN_MOUSE],2.24%,1,3,3,3,1428,158,7.27
Q61687,Transcriptional regulator ATRX OS=Mus musculus GN=Atrx PE=1 SV=3 - [ATRX_MOUSE],20.03%,8,42,42,81,2476,278.4,6.68
Q9JKK8,Serine/threonine-protein kinase ATR OS=Mus musculus GN=Atr PE=1 SV=2 - [ATR_MOUSE],0.30%,2,1,1,2,2635,300,7.53
P28658,Ataxin-10 OS=Mus musculus GN=Atxn10 PE=1 SV=2 - [ATX10_MOUSE],51.37%,2,26,26,152,475,53.7,5.25
Q7TQH0,Ataxin-2-like protein OS=Mus musculus GN=Atxn2l PE=1 SV=1 - [ATX2L_MOUSE],26.88%,3,1,26,98,1049,110.6,8.85
O70305,Ataxin-2 OS=Mus musculus GN=Atxn2 PE=1 SV=1 - [ATX2_MOUSE],23.74%,4,20,23,58,1285,136.4,9.55
Q9JLZ3,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Auh PE=1 SV=1 - [AUHM_MOUSE]",35.99%,5,10,12,24,314,33.4,9.51
